Product Id,Product Handle,Product Title,Product Status,Product Thumbnail,Product Sales Channel 1,Variant Id
prod_01KCGRGXC506FJ2E42R4ZWV8Z4,sweatshirt,Medusa Sweatshirt,published,https://medusa-public-images.s3.eu-west-1.amazonaws.com/sweatshirt-vintage-front.png,sc_01KCGQ6VD46GMGNHCTGZN4JWAQ,variant_01KCGRGXD83ER02AEE8J05PKJZ
prod_01KCGRGXC506FJ2E42R4ZWV8Z4,sweatshirt,Medusa Sweatshirt,published,https://medusa-public-images.s3.eu-west-1.amazonaws.com/sweatshirt-vintage-front.png,sc_01KCGQ6VD46GMGNHCTGZN4JWAQ,variant_01KCGRGXD8EQQENNHQVK5REWB2
prod_01KCGRGXC506FJ2E42R4ZWV8Z4,sweatshirt,Medusa Sweatshirt,published,https://medusa-public-images.s3.eu-west-1.amazonaws.com/sweatshirt-vintage-front.png,sc_01KCGQ6VD46GMGNHCTGZN4JWAQ,variant_01KCGRGXD8KG83SEEZQ7FHQY9X
prod_01KCGRGXC506FJ2E42R4ZWV8Z4,sweatshirt,Medusa Sweatshirt,published,https://medusa-public-images.s3.eu-west-1.amazonaws.com/sweatshirt-vintage-front.png,sc_01KCGQ6VD46GMGNHCTGZN4JWAQ,variant_01KCGRGXD8QD9P9GGZVQ92H87Q
prod_01KCGRGXC56D91DDCGZ60KBG4S,t-shirt,Medusa T-Shirt,published,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,sc_01KCGQ6VD46GMGNHCTGZN4JWAQ,variant_01KCGRGXD84X3X40VRGKYDQ2YD
prod_01KCGRGXC56D91DDCGZ60KBG4S,t-shirt,Medusa T-Shirt,published,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,sc_01KCGQ6VD46GMGNHCTGZN4JWAQ,variant_01KCGRGXD88074BN8GBFRQKZ8V
prod_01KCGRGXC56D91DDCGZ60KBG4S,t-shirt,Medusa T-Shirt,published,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,sc_01KCGQ6VD46GMGNHCTGZN4JWAQ,variant_01KCGRGXD8CP7S205PWZ1XZNSC
prod_01KCGRGXC56D91DDCGZ60KBG4S,t-shirt,Medusa T-Shirt,published,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,sc_01KCGQ6VD46GMGNHCTGZN4JWAQ,variant_01KCGRGXD8D7SCEHYSVV0MJPBP
prod_01KCGRGXC56D91DDCGZ60KBG4S,t-shirt,Medusa T-Shirt,published,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,sc_01KCGQ6VD46GMGNHCTGZN4JWAQ,variant_01KCGRGXD8GMBDG5AYHW6Q6GWD
prod_01KCGRGXC56D91DDCGZ60KBG4S,t-shirt,Medusa T-Shirt,published,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,sc_01KCGQ6VD46GMGNHCTGZN4JWAQ,variant_01KCGRGXD8HSPGWV9TVGYYSPBN
prod_01KCGRGXC56D91DDCGZ60KBG4S,t-shirt,Medusa T-Shirt,published,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,sc_01KCGQ6VD46GMGNHCTGZN4JWAQ,variant_01KCGRGXD8WSS4ZNJ9TCAAEB86
prod_01KCGRGXC56D91DDCGZ60KBG4S,t-shirt,Medusa T-Shirt,published,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,sc_01KCGQ6VD46GMGNHCTGZN4JWAQ,variant_01KCGRGXD8ZSGNPFN3HZW1T0CV
prod_01KCGRGXC56GE2SXW4XR1D5YD0,shorts,Medusa Shorts,published,https://medusa-public-images.s3.eu-west-1.amazonaws.com/shorts-vintage-front.png,sc_01KCGQ6VD46GMGNHCTGZN4JWAQ,variant_01KCGRGXD90ATT676XK0NMKH9A
prod_01KCGRGXC56GE2SXW4XR1D5YD0,shorts,Medusa Shorts,published,https://medusa-public-images.s3.eu-west-1.amazonaws.com/shorts-vintage-front.png,sc_01KCGQ6VD46GMGNHCTGZN4JWAQ,variant_01KCGRGXD98AKQTPJD8HQWS5RP
